,event,start_time,end_time,source
138,meteor,2024-08-13 04:31:59,2024-08-13 04:32:01,AMS
139,meteor,2024-08-13 04:27:59,2024-08-13 04:28:01,AMS
140,meteor,2024-08-13 04:53:59,2024-08-13 04:54:01,AMS
141,meteor,2024-08-13 05:15:59,2024-08-13 05:16:01,AMS
142,meteor,2024-08-13 06:28:59,2024-08-13 06:29:01,AMS
143,meteor,2024-08-13 06:29:59,2024-08-13 06:30:01,AMS
144,meteor,2024-08-13 07:01:59,2024-08-13 07:02:01,AMS
149,meteor,2024-08-14 00:56:59,2024-08-14 00:57:01,AMS
150,meteor,2024-08-14 00:59:59,2024-08-14 01:00:01,AMS
151,meteor,2024-08-14 02:16:59,2024-08-14 02:17:01,AMS
152,meteor,2024-08-14 02:44:59,2024-08-14 02:45:01,AMS
153,meteor,2024-08-14 03:19:59,2024-08-14 03:20:01,AMS
158,meteor,2024-08-15 00:59:59,2024-08-15 01:00:01,AMS
161,meteor,2024-08-16 01:09:59,2024-08-16 01:10:01,AMS
163,meteor,2024-08-16 06:17:59,2024-08-16 06:18:01,AMS
164,meteor,2024-08-16 06:49:59,2024-08-16 06:50:01,AMS
165,meteor,2024-08-16 08:29:59,2024-08-16 08:30:01,AMS
166,meteor,2024-08-16 22:42:59,2024-08-16 22:43:01,AMS
167,meteor,2024-08-17 02:09:59,2024-08-17 02:10:01,AMS
168,meteor,2024-08-17 02:42:59,2024-08-17 02:43:01,AMS
169,meteor,2024-08-17 06:22:59,2024-08-17 06:23:01,AMS
170,meteor,2024-08-18 01:14:59,2024-08-18 01:15:01,AMS
172,meteor,2024-08-18 07:32:59,2024-08-18 07:33:01,AMS
173,meteor,2024-08-18 09:59:59,2024-08-18 10:00:01,AMS
174,meteor,2024-08-19 03:39:59,2024-08-19 03:40:01,AMS
175,meteor,2024-08-19 04:46:59,2024-08-19 04:47:01,AMS
176,meteor,2024-08-19 05:59:59,2024-08-19 06:00:01,AMS
177,meteor,2024-08-19 08:33:59,2024-08-19 08:34:01,AMS
178,meteor,2024-08-20 01:14:59,2024-08-20 01:15:01,AMS
179,meteor,2024-08-20 02:09:59,2024-08-20 02:10:01,AMS
180,meteor,2024-08-20 04:49:59,2024-08-20 04:50:01,AMS
181,meteor,2024-08-20 05:14:59,2024-08-20 05:15:01,AMS
182,meteor,2024-08-20 14:59:59,2024-08-20 15:00:01,AMS
184,meteor,2024-08-21 01:21:59,2024-08-21 01:22:01,AMS
185,meteor,2024-08-21 01:44:59,2024-08-21 01:45:01,AMS
187,meteor,2024-08-22 00:28:59,2024-08-22 00:29:01,AMS
189,meteor,2024-08-22 11:13:59,2024-08-22 11:14:01,AMS
190,meteor,2024-08-22 22:59:59,2024-08-22 23:00:01,AMS
191,meteor,2024-08-23 00:14:59,2024-08-23 00:15:01,AMS
192,meteor,2024-08-23 01:11:59,2024-08-23 01:12:01,AMS
193,meteor,2024-08-23 01:43:59,2024-08-23 01:44:01,AMS
194,meteor,2024-08-23 03:23:59,2024-08-23 03:24:01,AMS
195,meteor,2024-08-23 03:44:59,2024-08-23 03:45:01,AMS
196,meteor,2024-08-23 04:29:59,2024-08-23 04:30:01,AMS
197,meteor,2024-08-23 05:13:59,2024-08-23 05:14:01,AMS
198,meteor,2024-08-23 11:12:59,2024-08-23 11:13:01,AMS
199,meteor,2024-08-24 01:14:59,2024-08-24 01:15:01,AMS
200,meteor,2024-08-24 02:09:59,2024-08-24 02:10:01,AMS
201,meteor,2024-08-24 02:07:59,2024-08-24 02:08:01,AMS
202,meteor,2024-08-24 02:44:59,2024-08-24 02:45:01,AMS
203,meteor,2024-08-24 03:14:59,2024-08-24 03:15:01,AMS
204,meteor,2024-08-24 11:34:59,2024-08-24 11:35:01,AMS
205,meteor,2024-08-24 23:49:59,2024-08-24 23:50:01,AMS
206,meteor,2024-08-25 01:26:59,2024-08-25 01:27:01,AMS
207,meteor,2024-08-25 02:07:59,2024-08-25 02:08:01,AMS
208,meteor,2024-08-25 02:19:59,2024-08-25 02:20:01,AMS
210,meteor,2024-08-25 04:46:59,2024-08-25 04:47:01,AMS
212,meteor,2024-08-25 09:04:59,2024-08-25 09:05:01,AMS
213,meteor,2024-08-25 23:37:59,2024-08-25 23:38:01,AMS
214,meteor,2024-08-26 00:39:59,2024-08-26 00:40:01,AMS
215,meteor,2024-08-26 00:41:59,2024-08-26 00:42:01,AMS
216,meteor,2024-08-26 02:09:59,2024-08-26 02:10:01,AMS
217,meteor,2024-08-26 03:26:59,2024-08-26 03:27:01,AMS
218,meteor,2024-08-26 03:49:59,2024-08-26 03:50:01,AMS
219,meteor,2024-08-26 04:19:59,2024-08-26 04:20:01,AMS
220,meteor,2024-08-26 09:30:59,2024-08-26 09:31:01,AMS
221,meteor,2024-08-27 01:49:59,2024-08-27 01:50:01,AMS
223,meteor,2024-08-27 09:29:59,2024-08-27 09:30:01,AMS
226,meteor,2024-08-28 00:23:59,2024-08-28 00:24:01,AMS
8,meteor,2024-08-01 04:31:28,2024-08-01 04:31:30,NASA
9,meteor,2024-08-01 04:42:13,2024-08-01 04:42:15,NASA
10,meteor,2024-08-01 05:15:39,2024-08-01 05:15:41,NASA
11,meteor,2024-08-01 05:19:36,2024-08-01 05:19:38,NASA
12,meteor,2024-08-01 06:09:30,2024-08-01 06:09:32,NASA
13,meteor,2024-08-01 07:11:10,2024-08-01 07:11:12,NASA
14,meteor,2024-08-01 07:14:36,2024-08-01 07:14:38,NASA
15,meteor,2024-08-01 08:14:15,2024-08-01 08:14:17,NASA
16,meteor,2024-08-01 08:25:19,2024-08-01 08:25:21,NASA
17,meteor,2024-08-01 08:45:09,2024-08-01 08:45:11,NASA
18,meteor,2024-08-01 08:48:25,2024-08-01 08:48:27,NASA
19,meteor,2024-08-01 09:25:17,2024-08-01 09:25:19,NASA
20,meteor,2024-08-02 04:42:11,2024-08-02 04:42:13,NASA
21,meteor,2024-08-02 05:47:27,2024-08-02 05:47:29,NASA
22,meteor,2024-08-02 05:58:05,2024-08-02 05:58:07,NASA
23,meteor,2024-08-02 06:05:03,2024-08-02 06:05:05,NASA
24,meteor,2024-08-02 06:53:40,2024-08-02 06:53:42,NASA
25,meteor,2024-08-02 08:07:29,2024-08-02 08:07:31,NASA
26,meteor,2024-08-02 08:08:32,2024-08-02 08:08:34,NASA
27,meteor,2024-08-02 08:11:39,2024-08-02 08:11:41,NASA
28,meteor,2024-08-02 08:11:45,2024-08-02 08:11:47,NASA
29,meteor,2024-08-02 08:16:01,2024-08-02 08:16:03,NASA
30,meteor,2024-08-02 08:29:51,2024-08-02 08:29:53,NASA
31,meteor,2024-08-02 09:19:52,2024-08-02 09:19:54,NASA
32,meteor,2024-08-02 09:52:46,2024-08-02 09:52:48,NASA
33,meteor,2024-08-02 09:54:51,2024-08-02 09:54:53,NASA
34,meteor,2024-08-02 10:43:45,2024-08-02 10:43:47,NASA
35,meteor,2024-08-02 10:43:53,2024-08-02 10:43:55,NASA
36,meteor,2024-08-02 11:04:46,2024-08-02 11:04:48,NASA
37,meteor,2024-08-02 11:08:14,2024-08-02 11:08:16,NASA
38,meteor,2024-08-02 11:21:15,2024-08-02 11:21:17,NASA
39,meteor,2024-08-02 06:08:44,2024-08-02 06:08:46,NASA
40,meteor,2024-08-02 07:07:35,2024-08-02 07:07:37,NASA
41,meteor,2024-08-02 08:11:39,2024-08-02 08:11:41,NASA
42,meteor,2024-08-02 08:24:21,2024-08-02 08:24:23,NASA
43,meteor,2024-08-02 09:04:59,2024-08-02 09:05:01,NASA
44,meteor,2024-08-02 09:42:04,2024-08-02 09:42:06,NASA
45,meteor,2024-08-02 09:53:58,2024-08-02 09:54:00,NASA
46,meteor,2024-08-02 11:21:15,2024-08-02 11:21:17,NASA
47,meteor,2024-08-03 05:16:35,2024-08-03 05:16:37,NASA
48,meteor,2024-08-03 05:21:21,2024-08-03 05:21:23,NASA
49,meteor,2024-08-03 05:30:14,2024-08-03 05:30:16,NASA
50,meteor,2024-08-03 05:41:05,2024-08-03 05:41:07,NASA
51,meteor,2024-08-03 05:41:12,2024-08-03 05:41:14,NASA
52,meteor,2024-08-03 07:26:14,2024-08-03 07:26:16,NASA
53,meteor,2024-08-03 07:52:27,2024-08-03 07:52:29,NASA
54,meteor,2024-08-03 07:59:18,2024-08-03 07:59:20,NASA
55,meteor,2024-08-03 08:08:54,2024-08-03 08:08:56,NASA
56,meteor,2024-08-03 08:32:26,2024-08-03 08:32:28,NASA
57,meteor,2024-08-03 09:01:43,2024-08-03 09:01:45,NASA
58,meteor,2024-08-03 09:04:00,2024-08-03 09:04:02,NASA
59,meteor,2024-08-03 09:13:06,2024-08-03 09:13:08,NASA
60,meteor,2024-08-03 09:34:29,2024-08-03 09:34:31,NASA
61,meteor,2024-08-03 09:36:14,2024-08-03 09:36:16,NASA
62,meteor,2024-08-03 09:50:20,2024-08-03 09:50:22,NASA
63,meteor,2024-08-03 10:37:42,2024-08-03 10:37:44,NASA
64,meteor,2024-08-03 10:46:03,2024-08-03 10:46:05,NASA
65,meteor,2024-08-03 10:54:06,2024-08-03 10:54:08,NASA
66,meteor,2024-08-03 11:38:56,2024-08-03 11:38:58,NASA
67,meteor,2024-08-03 11:41:15,2024-08-03 11:41:17,NASA
68,meteor,2024-08-04 03:57:39,2024-08-04 03:57:41,NASA
69,meteor,2024-08-04 03:58:42,2024-08-04 03:58:44,NASA
70,meteor,2024-08-04 04:43:30,2024-08-04 04:43:32,NASA
71,meteor,2024-08-04 05:27:51,2024-08-04 05:27:53,NASA
72,meteor,2024-08-04 06:04:00,2024-08-04 06:04:02,NASA
73,meteor,2024-08-04 06:11:35,2024-08-04 06:11:37,NASA
74,meteor,2024-08-04 06:24:08,2024-08-04 06:24:10,NASA
75,meteor,2024-08-04 07:02:50,2024-08-04 07:02:52,NASA
76,meteor,2024-08-04 07:06:44,2024-08-04 07:06:46,NASA
